amountRaised,campaignTitle,currencyType,endDate,goal,numberContributors,story,url
736,Please help Cherry get her freedom back,Australian Dollar,,of $12.8k goal,15,,https://fundrazr.com/c1PmFe
"147,950",Help James McCarthy in his battle against leukemia,U.S. Dollar,,of $100k goal,944,"How you can help: Donate to James’ care: https://fundrazr.com/campaigns/f1OA33/pay Register to be a bone marrow donor: http://www.bethematch.org/ James’ Story: On Tuesday, August 7th we were leaving the house for Rita’s birthday
  dinner when we received a voicemail from James’ doctor. She said to call immediately and left her personal cell phone
    number. As we walked, James was being his usual self:
  running down Southport Ave and acting like a healthy, happy little
  boy. Forty-eight hours later, James would be in critical
  condition, on a ventilator, and fighting for his life.  Two days after
  that James was diagnosed with an extremely rare form of Leukemia. When we called the doctor back, she shared that a routine blood test
  showed James’ white blood cell count was abnormally high and she
  wanted us to get more tests done by the Leukemia and cancer
  specialists at Lurie’s Children Hospital. To put it in
  perspective, healthy children usually have a white blood cell count of
  5,000 to 10,000. James’ was at 32,000. Thursday was the soonest appointment we could get with a hematologist
  - a doctor who specializes in diseases of the blood. The
  doctors at Lurie’s confirmed that something was not right. They wanted to get a bone marrow sample to figure out what was
  going on and the quickest way to the front of the line was to have
  James admitted. At that point, there wasn’t a high level
  of concern for James’ immediate health. We spent the day
  playing with trucks, reading books, watching “gee” (Curious George)
  and looking at cars, trucks, buses and all his favorite sights of the
  city from the hospital room window. On Friday morning at 9:30 am, James underwent a procedure to extract
  a bone marrow and a bone sample from his hip. The
  doctor’s shared what they were testing for: James likely either had
  Leukemia or an auto-immune disease. Devastation. A few hours later the oncologist (cancer doctor) called us to the
  consultation room for a discussion. She shared what was
  seemingly good news. The initial blood results had ruled
  out the most common types of Leukemia, which typically make up more
  than 99% of annual childhood Leukemia diagnosis. The
  only cancer they couldn’t rule out was a very rare form of Leukemia
  called Juvenile myelomonocytic leukemia, or JMML. We
  would later learn that JMML is so rare that there are currently only
  20 kids diagnosed in the U.S. While we didn’t yet have an answer for what was affecting James, we
  cautiously celebrated the news since the other options were an auto
  immune disease or pneumonia.  We were told the rest of the tests would
  likely come back on Monday. That night James’ health rapidly deteriorated. His
  temperature spiked to 104. His heart rate was racing at
  200 beats per minute. His lungs began to fail. To help his little body the nurses and doctors put him on
  oxygen and a few IVs. While we were scared – and not
  knowing what was happening – we at least had the benefit of being able
  to talk to the doctors. James didn’t. As the night progressed, the doctor’s wanted to increase his oxygen
  to help with his lungs; and to do so, he needed to be moved to the
  Pediatric Intensive Care Unit (PICU) and only they could administer
  the higher dosage. For the next 24-hours, James would not rest; his body would not let
    him. Each time he did fall asleep, he would wake up 10
  to 20 minutes later terrified and not knowing what was happening.  His
  body was in overdrive, IVs and sensors all over his body, a tube
  inserted down his nose into his stomach – how could he understand? It was excruciating. His body was being
    overworked. He was having trouble breathing. He was not getting the rest needed. He was
  pleading with all the words he had.  “All done.” “Momma.” “Up.”
  “Outside.” It was heartbreaking and terrifying to watch
  our poor little baby so scared and so sick, feeling completely helpless. The PICU team told us what we could already see.  James’ body
  could not sustain this pace on his own, so we made the decision to
  sedate and intubate him (put on a breathing machine.) It
  was mentally impossible to hear but we knew it had to be done.  We sat
  bedside with James as he was sedated and the breathing tubes inserted
  into his lungs.  This was two days after we walked into the hospital
  with a seemingly healthy little boy. Saturday brought a new bombshell. The only piece of
  good news we had received instantly disappeared. Our
  James had JMML, the rarest type of childhood Leukemia. The doctors now suspected that James did not have pneumonia. Instead it was leukemia filling his little lungs with white
  blood cells. James’ white blood cell count accelerated
  rapidly throughout the day from 30,000 (which we previously thought
  was unimaginably high) to 50,000 to 78,000 to 90,000 to 111,000 to 128,000. Our little James was now in critical condition. Some of
  the best doctors in Chicago were working with him minute-by-minute,
  hour-by-hour to keep him going. Everything had happened
  so fast that we didn’t even have time to process one bit of news
  before we had moved onto another. But we kept in mind
  one thing: if you’ve met James, you know he is a strong-willed little
    toddler. If anyone can battle this, it’s James. While James’ lungs were responding to the breathing machine, it
  wasn’t enough.  The doctors decided to move him to a
  new ventilator that could also administer anesthesia gas in addition
  to breathing for James.  This machine had to be brought up from the
  E.R. and had only been used a few times on the PICU floor over the
  past two years. We were told James may be the sickest
  patient in the hospital (438 patients) and that he was fighting for
  his life. We were grasping for straws. The doctors told us they
  were running out of things to try. We
  discussed unproven options that had never been tried on a patient as
  young as James. We signed consent forms. Fortunately, the new machine began to stabilize James and we took
  some of those options off the table.  During “rounds” the next
  morning we counted thirteen doctors and nurses around James’ room to
  get an update on his condition.  We felt like we were in the right
  place with the right level of attention from an incredibly experienced
  medical staff. We had tremendous support from family and
  friends – all rallying around James and supporting us day and night. On Sunday, August 12th- just 5 days after receiving that urgent
  call from the doctor - James started Chemo. His chemo is
  now administered twice a day. Once for
    30-minutes. Later in the day for 4-hours. He typically also requires a blood transfusion. This is in addition to the 18-25 drips of medication he is on
  every hour. As crazy as it sounds, this is only part of the story over the past
  week. There have been other challenges with blood
  pressure, his lungs filling with carbon dioxide (CO2), scary
  challenges switching him to new medical machinery, but tough little
  James is making progress. On Wednesday the 15th he moved
  to a smaller ventilator. His white blood cells are down
  to 30,000. While still on anesthesia, James has been resting in bed with his
  night time puppy, Curious George stuffed animal and a pacifier in one
  hand and his favorite toy truck in the other. We have
  been reading James books, which is very difficult while keeping your
  emotions in check. James has a long fight in front of him. It’s scary to
  think about all the challenges ahead but right now we are focused on
  today. One step at a time, then we will tackle the next target. Ultimately, the only cure for JMML is a bone marrow transplant, in
  addition to extensive chemotherapy over the coming months until we
  find the appropriate donor match. If you want to see if
  you would be a match for James, please register at the website below. Nearly 5,000 kids will be diagnosed with Leukemia this year. There are a lot of kids like James out there whose only hope is
  to find a good donor match. You can do it from your own
  home and it’s as easy as swabbing the inside of your cheek. Please visit: http://www.bethematch.org/ You can learn more about JMML at: https://en.m.wikipedia.org/wiki/Juvenile_myelomonocytic_leukemia Please keep James in your thoughts and prayers.  He’s the
  sweetest little boy you’ll ever meet. We can’t wait to
  hear his voice again. To see his kind blue eyes. To have him blow us a kiss with a smile. I love
    you James. You can donate to James’ care at https://fundrazr.com/campaigns/f1OA33/pay",https://fundrazr.com/f1OA33
"1,430",Heal the healer - Help for Pak Sadra,Euro,"Jan 1, 2019",of €2.3k goal,18,"My name is Franziska, and just like you, I have been a guest at
  Ashram Gandhi - a place that, to many of us, has become sort of a
  Balinese home, nurturing our bodies, minds and hearts. During the last year, I have visited the Ashram five times and every
  time I went, it became a bit more like home. One of the key reasons
  for that is Pak Sadra's presence, care and welcoming spirit. He has
  not only given me acupunctural treatments, but welcomed me and my
  family at his home in Tenganan. He enriched my mind and spirit in our
  conversations about religion, philosophy and his travels. In fact he
  has become like a father to me, as he has to the Ashram members and
  many, many others. In early November, Pak Sadra's health condition deteriorated bruskly,
  and it required a surgery in the end in order to treat a very painful
  prostate inflamation. This process and required hospitalisation
  thereafter has exhausted his life savings of 2.500 USD completely, as
  the insurance did not cover the intervention at the hospital he was attended. Pak Sadra, who as been healing everybody in need, no matter their
  economic circumstances, now needs our support to be healed himself.
  Let's help him pay for his surgery, so he can recover faster and go
  back to healing others! With his campaign, we will send 100% of the raised funds directly to
  Pak Sadra as a sign of our deep gratitude and support. He does not know of this campaign to keep it a surprise until we have
  raised a good amount of funds, but I am coordinating with people in
  his very close environment to verify his needs and situation. I'm happy to clear any doubts or questions - please get in touch!",https://fundrazr.com/HealPakSadra
"3,915",Please help Steve Stevenson as he undergoes treatment for terminal liver cancer.,U.S. Dollar,"Dec 31, 2018",of $12k goal,50,"My father Steve was diagnosed earlier this year with terminal liver
  cancer. He is currently undergoing immunotherapy treatment at Kaiser
  which has had some promising results for others so we're hoping for
  the best. However, like all cancer treatments the side effects have
  caused him a great deal of fatigue making it impossible for him to
  work during this time. We recently discovered that because he was employed by a church
  before his diagnosis he is unable to draw from unemployment insurance
  or state disability funds as they aren't legally required to
  contribute to them. We are hoping that he will be able to qualify for
  social security but have been informed that if he does qualify he
  won't receive a check for another 6 months as his claim works it's way
  through that system. We're hoping to raise $12,000 to cover him over the next six months.
  This will cover his rent, utilities, co-pays, travel and food over
  this time and relieve a great deal of stress from him as he
  concentrates on his health.",https://fundrazr.com/stevestevenson
"1,196",Please Help Johnny Get Top Surgery,U.S. Dollar,"Jan 20, 2019",of $5.5k goal,21,"Top surgery is a procedure that allows genderqueer people to obtain a
  flat chest, which is something I've known that I needed ever since I
  was little. Having this surgery during winter break would be the most
  opportune time for me, especially since I'm looking to get an
  internship this next summer. I recently found out that I'll be able to
  have top surgery on December 19th, so that means I'm not quite
  monetarily prepared for it. I am trans masculine non-binary and I fully came out at the beginning
  of 2018. I started hormone replacement therapy this past summer and
  it's truly been a life-changing experience! The $5,500 goal is to cover the remaining cost of the procedure. I
  could use all the help I can get in raising money towards this goal,
  whether that be through donations or sharing my Fundrazr link with
  others. I'm accepting all contributions, no matter the size! I really
  appreciate any and all support you have to offer, and as a sign of my
  appreciation I'll be sharing various handmade gifts at different
  levels of donations. These are described under perks on this page;
  simply choose the perk you'd like and donate at least the amount
  listed to receive it. I'll be mailing all of these gifts out at the
  beginning of 2019 and I'll be sure to keep supporters updated about
  shipping as it gets closer. Thank you!",https://fundrazr.com/helpJohnny
"68,410",URGENTLY NEEDED New Hips for Christian McCudden!!,Australian Dollar,"Dec 21, 2018",of $81k goal,32,"Hi, my wife and I have been friends with Christian and Melissa for nearly
    twenty years... it has been many years since we have caught up with
    this wonderful family and after a recent phone conversation with
    Christian we have only just now learned of the ongoing physical
    hardship he has been going through over the years and the very
    difficult decision he has just had to make..... After our chat I thought there has to be something we can do to
    help, so I have setup this campaign in the hope that you will all
    join us in standing together to make a massive difference to
    Christian’s upcoming journey! Following is a snapshot of the McCudden family and Christian’s
    journey so far and the reasons why our donations are so very vital
    and impactful at this time for them... Christian has been married to Melissa for 21 yrs. and they have
    3 three amazing children, Noah, Ella and Zachary. In 2013 Christian & Melissa moved from their home in
    Sydney's northern beaches leaving family, friends and working at C3
    Oxford falls as one of the full time pastors, and planted C3 church
    Noosa, launching in May of 2013. Prior to planting C3 Noosa they were a part of C3 Oxford falls
    for 20 years. Over that time Christian fulfilled many roles in various
  areas including: Youth ministry for 12yrs / Pastoring / Lecturing in the Bible College. Travelled with and assisted Ps Phil for 6 years. Project managed the buildings and renovations that went on over the
  years at C3 Oxford falls. Christian has also over many years ministered in Church's throughout
  Australia, New Zealand, America, Europe, Asia and Indonesia seeing
  many people saved, healed and touched by the power of God. He has also seen over the year’s incredible healings and testimonies. Blind eyes opened / Deaf ears opened / Cancer healed Crippled people getting out of wheel chairs / Stroke patients healed
  and walking and speaking. Pain leaving bodies immediately / Blood conditions healed / People
  who were suicidal set free Dead raised to life / Arthritis conditions healed Broken bones healed instantly… and many more stories to be told. Christian and Melissa have now been on the Sunshine Coast QLD for 5
  1/2 years with C3 Noosa just celebrating its 5th birthday.  A church
  that is vibrant, growing, and impacting many lives in their local
  community and beyond. As this all still continues to grow and function
  Christian currently works part time for their church C3 Noosa and full
  time as a carpenter, building on job sites. Over the past 8 years Christian has
    suffered with pain in his body from a gradual degenerative arthritic
    condition in both his hips. In the past 4 years the pain has become
    very intense with major side effects such as only being able to
    sleep a couple of sound hours a night, having limited movement,
    unable to exercise or do the physical things he loves to do and
    especially with his kids. Two years ago Christian had the
    opportunity to go over to the U.S to get stem cell treatment in both
    hips which has helped to a small degree but has not been able to see
    the full benefits due to his current working activity of being on
    the tools building. Building over the last few years
      has taken a huge toll on his body and made the pain more intense.
      Christian has now come to a place where he cannot physically
      continue to do his work labouring as a builder, due to the extreme
      pain and limited movement. He has no other option left other than to proceed with
      further treatment being a double hip replacement! A double hip replacement and the extensive rehabilitation
        involved is quite costly and the road to full recovery is a good
        6 to12 months! In a matter of days Christian will have no income from building as he has had to give notice and quit due to his bodies inability
    to function sufficiently in the way needed to perform his role as a
    builder and his bodies pain levels have reached a crippling level. Christian needs our help NOW! The results from this will be amazing! It will give Christian back his quality of life! It will give
      him back the things that we take for granted like having a full
      night’s sleep, having no crippling pain, being able to exercise,
      and the ability to do normal life activities with his children
      while they are still young! We would love to enable Christian to get this surgery done ASAP
      and for him to have the appropriate time required for a full recovery. It is a costly procedure and the post-operative rehabilitation
      expenses required will be quite high. To enable Christian to have the procedure and the necessary
        time off not needing to labour physically in the building
        industry is a minimum of six months..... So that’s what we have
        based the amount of funds needed to raise on: - The double hip
        replacement surgery, rehabilitation and physical therapy for six
        months and funds to keep the family afloat while Christian is
        unable to work. So we kindly ask you to consider donating to help bless
        Christian and his family at this time as they make plans towards
        treatment, surgery and rehabilitation. Christian has been such a faithful servant and blessing to so
      many lives over the years. A servant’s heart through and through
      and one of the most generous people you will ever meet. If you are reading this then you have probably been blessed in
        some form either directly or indirectly from the big hearted
        kindness of this faithful man. We now we get the opportunity to sow back into this rich soil of
    an amazing family and help them in their time of need! They are so humble and never complain most people wouldn’t even
      know about this ongoing struggle over the years and how Christian
      has been enduring such pain in his body while going about blessing others! Let’s all band together to quickly raise the funds for this
        much needed surgery! If we all dig deep, give what we can and pass this on to our
        various friends and networks then Christian will be on the road
        to recovery before we know it... Thank you all for your thoughts, prayers and generous donations.... God Bless!!",https://fundrazr.com/f1MWCb
450,Christmas breakfast and gifts for the Hemodialysis patients in Arequipa - 2018,Canadian Dollar,"Dec 21, 2018",of $1.5k goal,7,"The 6th year that we look forward to providing some moments of joy to
  those who are sick, specifically to the hemodialysis patients from the
  Honorio Delgado Hospital located in Arequipa, Peru. M.D. Eduardo Chavez, Head of Nephrology Department, started this
  campaign some years ago, in which, these patients (who are very poor
  people) receive some gifts and get a healthy breakfast. As a family, we felt the necessity to be involved in this beautiful
  cause, and this will be our 6th year participating in this heartful occasion. Thanks to your support! , last year we were able to
  provide food and presents to 200 patients (combined), however, every
  year the number of patients attending this event is growing! This year we aim to give presents to all of them, and for us to reach
  this goal, your help is absolutely necessary. Any donation will be greatly appreciated. Thanks! Chavez Beltran Family -------------------------------------------------------------------------------- Pour la 6ème année, nous espérons pouvoir offrir des
              moments de joie aux malades, en particulier aux patients
              hémodialysés de l’hôpital Honorio Delgado situé à
              Arequipa, au Pérou. M. Eduardo Chavez, chef du département de
              néphrologie, a lancé cette campagne il y a quelques années
              dans laquelle ces patients (qui sont demunis) reçoivent
              des cadeaux et reçoivent un petit-déjeuner sain. En tant que famille, nous avons ressenti le besoin
                de nous impliquer dans cette belle cause et ce sera
                notre 6e année de participer à cette occasion de cœur. Grâce à votre soutien, nous avons pu fournir de la
              nourriture et des cadeaux à 200 patients l'année dernière.
              Cependant, chaque année, le nombre de patients participant
              à cet événement augmente! Cette année, nous visons à offrir des cadeaux à
              chacun d’entre eux. Pour que nous puissions atteindre cet
              objectif, votre aide est absolument nécessaire. Tout don sera grandement apprécié. Merci ! Famille Chavez Beltran",https://fundrazr.com/31QBzc
720,Oana Raluca,Euro,"Feb 28, 2019",of €15k goal,22,"[English follows below] Salut! Numele meu e Bogdan și reprezint aici câțiva prieteni și
  colegi ai Oanei Raluca COCAN . Oana e din București. E un om obișnuit; are 44 de ani, e căsătorită
  și are doi copii: o fată de 14 ani și un băiat de 9 ani. Pagina ei de
  Facebook, unde publică vești, e https://www.facebook.com/ralucaoana.cocan . În urmă cu 6 ani a primit un diagnostic de cancer de col uterin.
  Vestea a căzut ca un trăsnet asupra ei și a familiei. Însă cu
  optimismul care o caracterizează, cu ajutorul prietenilor și al lui
  Dumnezeu, a câștigat lupta. Viața a reintrat în normal; copiii s-au
  făcut mari, părinții au crescut și ei. Acum însă boala s-a întors și a
  afectat deja un rinichi, ureterul drept și vena iliacă. Oana are din
  nou nevoie de ajutorul nostru. În prezent ea este la Helios Klinikum din Berlin, Germania. După o
  primă investigație și o operație (tentativă nereușită) de salvare a
  unuia dintre rinichi, planul de bătaie înseamnă șase săptămâni de
  radioterapie, posibil combinată cu chimioterapie. Operația nu este
  posibilă din cauza amplasării afecțiunii. Terapia depășește posibilitățile financiare ale familiei ei. Are
  nevoie de 15.000 EUR . Copiii și soțul ei, și noi de
  asemenea, o vrem în continuare alături de noi. După câștigarea acestei lupte, cu permisiunea voastră, banii eventual
  rămași vor fi donați unei organizații care se ocupă de cazuri similare. Vă rugăm donați pentru Oana. Și rugați-vă pentru ea. Prin această pagină puteți dona doar
    via Paypal . Alternativ, vă stau la dispoziție conturile: RON: RO32 BRDE 445S V600 4542 4450 (Oana Raluca Cocan) EUR: RO09 BACX 0000 0003 1964 6001 (Constantin Serban Cocan) --- Hi! My name is Bogdan and I am here on behalf of several friends and
  colleagues of Ms. Oana Raluca COCAN . Oana is an ordinary woman from Bucharest, Romania. Aged 44, married
  with 2 children: a girl (14) and a boy (9). Here is her Facebook page
  where she is posting updates: https://www.facebook.com/ralucaoana.cocan . Six years ago, she received a uterine cancer diagnostic. The news
  came as a hammer upon her and her family. Yet with her optimism and
  with the help of her friends and God, she overcame that trial. Life
  went back to normal; the kids grew older, so did the parents. Now the
  disease is back and has already reached a kidney, the right-hand
  ureter and the iliac vein. Once again, Oana needs our help. Now she’s at the Helios Klinikum in Berlin. After a first
  investigation and a failed surgery to save one of the kidneys, the
  approach means 6 weeks of radiotherapy, possibly combine with chemo.
  Surgical removal of the tumor is not possible because of the location. The said therapy exceeds the financial means of her family. We need EUR 15,000 . Her children and husband want her back
  in good shape. We too. After winning this battle, with your permission, any and all money
  remained will be donated to a charity dealing with similar cases. Please donate for Oana. And pray for her. You can donate here only through
    Paypal. Alternatively you may use the accounts: RON: RO32 BRDE 445S V600 4542 4450, Swift BRDEROBU (holder: Oana Raluca Cocan) EUR: RO09 BACX 0000 0003 1964 6001, Swift BACXROBU (holder: Constantin Serban Cocan)",https://fundrazr.com/oanaraluca
"643,336",British Gut,,,,,"King's
  College London will be closed for the holidays from December 22nd,
    2018 to January 4th, 2019 . Orders made from December 14th to
    January 4th will be shipped out when the campus reopens on
  January 7th, 2019. Please do not send any samples back during
    this time either as your sample will be held up in the university
    mailing system until we return, which will affect your sample
    quality. If you are sending your sample the week prior to December
    22nd, please make sure it will arrive by December 21st. __________________________________________________ This is a unique open collaboration between the TwinsUK team at King's College London and The American Gut Project (AGP) / The Microsetta Initiative to expand the study of the bacterial diversity to
    participants in Europe. If you are a participant living outside Europe and would like
    to participate, please refer to our American Gut Fundrazr page . Many
  people don't realize that the bacteria that live inside us play an
  incredibly important role in our health. There are so many of them:
  They make up 50 percent of the cells in our body and their most
  important jobs include manufacturing vitamins for us and breaking down
  and digesting our food. The trillions of bacteria in our gut weigh
  nearly 2 kg (over 4lbs). This community of bacteria can be thought of
  as an extra 'organ' which we call our ""microbiome"".  Recent
  research has discovered that small changes in this finely balanced
  community can affect our immune system, metabolism, body weight, mood
  and may even cause diseases such as Crohn's disease, irritable bowel
  syndrome, cancer, autoimmune disease, diabetes and heart disease. This is the first project of its kind in Europe, as an extension
    of the American Gut Project & The Microsetta Initiative, based
    at the University of California San Diego.  We have collaborated
    with TwinsUK at King’s College London so that those living in Europe
    can participate, and with your help, we will be able to discover
    more about the crucial relationship between our health and our
    microbiome, and on a personal level, you will be able to discover
    the bacterial profile of your own gut. With your help, we hope to be
    able to answer questions such as 'How much does our choice of
    lifestyle and diet influence our microbiome, and can we alter our
    microbiome to make us healthier?' We are discovering that each person is very different and has
    their own unique microbiome. More research is needed to work out
    what constitutes a 'healthy' microbiome, and which combinations of
    bacteria are beneficial and which ones should be avoided. In order
    to do this ambitious and much-needed project, we urgently need a
    large scale collection of human samples. Over ten thousand people
    have already signed up in America already through the American Gut
    Project-- but we need many more from Europe. The project mainly focuses on the gut as this is our main
    'microbial home', however, the study will also look at areas like
    the oral and skin, as these areas of the body may be influenced by
    the microbiome. Joining is simple! Select the kit you would like from the list
    of options on the left-hand side by clicking “Claim this perk” found
    on the right side (if you would like to receive a specific number of
    kits that isn’t listed as a perk, email us at info@britishgut.org ). You will receive your kit within 3 weeks after payment. Shipping within the U.K. first class should be around £2.90, but
    we recommend taking the sample to the post office to get the proper
    postage. Getting the postage right on the first try is important
    since samples that spend a long time in transit will likely not
    produce the highest quality results. After you have returned your
    sample to us, we will then be sent to the Knight Lab at the
    University of California San Diego to be processed and analyzed. We estimate that the whole process will take about 4-5
  months. We typically bulk ship samples back to the Knight
  Lab every 1-2 months on dry ice to reduce shipping costs. Once your
  sample is arrives at the Knight Lab (you'll get a notification when
  they have received your sample), it takes approximately 3 months to
  return results. Each kit contains a sample collection device (or multiple if you
    ordered more than one), an instruction packet on how to sample, and
    return envelope(s) to send your sample tube(s) back. Once we provide you with your results, you will receive data
    visualization of how your results compare to other people who are
    within the same diet and lifestyle group as you (having different
    results from them does not necessarily mean anything bad, it can
    just be that you have different lifestyles that make bacterial
    profile is different).   In addition, you will be provided with a
    list of the major groups of bacteria in your sample and their
    relative abundances (based at the genus level). These results are not actionable,
      and we do not provide any personalized interpretation . It will take longer than the expected 4-5 months to receive
      results if you are submitting one of the following sample types: Oral or skin samples. A desktop computer or laptop is recommended to register and log your sample into our
      participant portal website, as our participant website has
      compatibility issues on mobile devices and tablets.  The best
      browser to use when you register your kit is Google Chrome. Note your de-identified information will be part of a
      research study and will be made available in a publicly available
      research database. That is, any personal information that might
      easily identify who you are will be removed before being placed in
      the public database. If you decide that you no longer wish to continue in this
      study, please send a request to the British Gut Project help
      account ( info@britishgut.org ) to inform us of your intent to withdraw. You may request a
      refund within 50 days of your original payment if you have not yet used your kit. Please note that the Fundrazr transaction fee will be
        deducted from your refund. The consent forms are maintained on the participant website;
      details are included in your kit. To sign the consent form, you
      must agree to use an electronic format for your signature in
      accordance with the United States' eSIGN Act and California's UETA
      Act. You have the right to obtain the electronic record in a
      non-electronic form. The results you receive from submitting a sample are not
      meant to act as medical or health diagnoses . We will not be able to provide any clinical or medical
      information/recommendations from your results. We look forward to working together on this new and exciting
      project! If you have any questions, email us at info@britishgut.org .",https://fundrazr.com/britishgut
685,Please help fund for my mother treatment  costs,U.S. Dollar,,of $40k goal,30,"Dear friends, My name is Anatoly. I am from the Republic of Moldova. I would like
  to share my story over the past year and a half. In the year 2017,
  happiness came to our family, I got married, my sister got married
  too, then my wife and I had a son. My sister and her husband moved to
  the United Kingdom for permanent residence. It would seem that everything was fine, everything was getting
  better, a new step in a new life, something completely new, and how
  grate was to give a new life. But in November 2017, the misfortune
  came to our family, two cancerous tumors in the head were found at my
  mother, and a completely different story began. It was decided to excise the tumors surgically. The date of the
  operation was set. Analyses, radiological examination and fluorography
  before the operation, revealed a spot in a lung. The additional
  analyses detected a cancerous tumor in the left lung. The commission of doctors decided to conduct an operation on the
  head, and after that to remove completely the left lung, and take a
  histological analysis. Within one month both operations were
  successfully performed. Histological analysis showed the nidus of cancer in the lung. Next,
  we had to conduct PET - CT (positron emission tomography), this is a
  computer tomography for detecting tumors in the whole body. And it was
  also necessary to complete 5 courses of chemotherapy. The decision was to conduct all the examinations at the Neolife
  Oncological Clinic in Istanbul (Turkey). In January 2018, we went to
  the clinic. We took the analyses, underwent examination and PET
  scanning. The result was disappointing. A stain was found above a kidney and in a bone, and a small tumor in
  the head. The commission of doctors prescribed six courses of
  chemotherapy, injections against bone destruction, and a course of
  radiotherapy. Every three months, an MRI scanning of the head was conducted. At the end of chemotherapy courses, again in Istanbul a PET scan was
  made. All the chemotherapy courses were purchased at the Neolife
  Clinic, and were dripped in Chisinau at the Oncological Clinic. On the 27 of February, 2018, my dad fell down and broke his leg in
  the femoral neck area, an urgent operation was performed, 3 screws for
  bone fusion were installed, the healing time was on average from 4 to
  8 months. Here begins a new stage, but we will not go deeply into it
  and move directly to June 2018. We finished the course of chemotherapy with my mom and the regular
  examination of the leg with my dad. We decided to fly first to
  Istanbul, and then, upon arrival, to examine the father. On the arrival in Istanbul, another PET scanning was made, the results of which were
  quite consolatory. The stain over the kidney disappeared, one remained only in the bone,
  but we continued to drip the injections, which was against the
  destruction of bones. The commission of doctors proposed 4 courses of
  sustaining chemotherapy to fix the results and the next examination at
  the end of the courses. It was like a light at the end of the tunnel. Was that really the end
  of that difficult period of life? We purchased chemotherapy courses
  and went to Chisinau with good news. Upon the arrival we went for an examination with dad, underwent a
  radiological examination. Radiological examination showed that there
  was no coalescence of the femoral neck, and it is necessary to put a
  femoral prosthesis, in 2 months after the installing the prosthesis,
  one can safely walk and live a full life. After choosing the prosthesis and the surgeon to conduct the
  operation, the day of the operation was appointed. The operation was
  successful. In general, everything began to get better, the difficult
  period of life slowly began to move away from us. After the finishing of the courses of supporting chemotherapy, on
  04.11.2018, my mother and I went to Istanbul for another examination,
  full of confidence and hope that everything would be fine. On
  05.11.2018 mom underwent another PET scanning which again made us unhappy. The result showed that another tumor appeared in the head next to the
  place where the last two were removed, a tumor appeared again above
  the kidney and the spot on the bone increased, in the lymph nodes
  where there was the left lung, small trace of possible metastasis was
  found. It was like a blow. Now we have done another analysis for pathology to select the next
  chemotherapy courses, and we are also waiting for the results of a
  consultation of doctors who must decide whether it is possible to
  apply radio emission to remove the tumor from the head. We have gained
  strength and are trying to overcome this disease. With all my heart I want to thank all the relatives, friends and
  those who did not remain indifferent to our situation, for their
  support, for their moral and material assistance. Now we are in a difficult situation, because all our accumulated
  funds have long ended, all that was possible to sell is already sold,
  all where it was possible to lend out is already borrowed and the
  terms of debt recovery are coming around, and now we have no means to
  continue treatment and to return the debts. Debts, which are totaled
  in the amount of $ 39000. And the preliminary sum for the continuation
  of the treatment has not designated yet. For this reason, I indicate
  the amount of the debt. I believe that There must be some kind folks in the world still, and
  I ask to help all who can. I have always been of the opinion that $
  5-10 for many people is not a significant sum, but can help someone to
  save lives. Whenever it was possible, on some fundraising portals, I
  always tried to help people. I sent it and immediately forgot it, but
  I was sure that for the person to whom I sent money it was definitely
  more necessary. Now I am in that situation that I myself need
  financial help and I really hope that this time people will be able to
  help me too. Thank you all.",https://fundrazr.com/tatianat63
